# Train loss, Test loss
3.460386991500854492e-01,3.236193060874938965e-01
2.440537661314010620e-01,2.303296029567718506e-01
1.871740669012069702e-01,1.742705106735229492e-01
1.470445096492767334e-01,1.376847028732299805e-01
1.119834929704666138e-01,1.083866208791732788e-01
8.712067455053329468e-02,8.766940236091613770e-02
7.533974945545196533e-02,7.667992264032363892e-02
6.998499482870101929e-02,7.076593488454818726e-02
6.290768086910247803e-02,6.445764750242233276e-02
5.510582029819488525e-02,5.787171423435211182e-02
5.049360170960426331e-02,5.332923308014869690e-02
4.973301291465759277e-02,5.153243616223335266e-02
5.082135647535324097e-02,5.137528106570243835e-02
5.159372463822364807e-02,5.130039155483245850e-02
5.115402117371559143e-02,5.056620761752128601e-02
5.006949976086616516e-02,4.966070130467414856e-02
4.968190565705299377e-02,4.970778152346611023e-02
5.070878192782402039e-02,5.106871202588081360e-02
5.227063223719596863e-02,5.256546661257743835e-02
5.285246670246124268e-02,5.268585309386253357e-02
5.212423205375671387e-02,5.129466205835342407e-02
5.094963684678077698e-02,4.950055480003356934e-02
5.000182613730430603e-02,4.817619919776916504e-02
4.918408766388893127e-02,4.725691303610801697e-02
4.794798791408538818e-02,4.611275345087051392e-02
4.578990861773490906e-02,4.412264749407768250e-02
4.268060997128486633e-02,4.109648615121841431e-02
3.920921310782432556e-02,3.746781870722770691e-02
3.602424263954162598e-02,3.386348113417625427e-02
3.312166780233383179e-02,3.051597811281681061e-02
2.997418493032455444e-02,2.722922153770923615e-02
2.644828706979751587e-02,2.387869544327259064e-02
2.314131520688533783e-02,2.075133286416530609e-02
2.060518413782119751e-02,1.814252510666847229e-02
1.876339688897132874e-02,1.602751761674880981e-02
1.728668250143527985e-02,1.427690871059894562e-02
1.614281162619590759e-02,1.300275884568691254e-02
1.562361698597669601e-02,1.251728273928165436e-02
1.591365411877632141e-02,1.295211631804704666e-02
1.669061556458473206e-02,1.390015147626399994e-02
1.744534820318222046e-02,1.473702117800712585e-02
1.810656115412712097e-02,1.528663374483585358e-02
1.876184530556201935e-02,1.569880172610282898e-02
1.915516145527362823e-02,1.593575999140739441e-02
1.900383643805980682e-02,1.586348377168178558e-02
1.845721900463104248e-02,1.556906569749116898e-02
1.786472275853157043e-02,1.519970409572124481e-02
1.727263256907463074e-02,1.464603189378976822e-02
1.657988876104354858e-02,1.379798725247383118e-02
1.594730280339717865e-02,1.291791442781686783e-02
1.557569485157728195e-02,1.234171912074089050e-02
1.541002281010150909e-02,1.210745051503181458e-02
1.531691569834947586e-02,1.208075322210788727e-02
1.529474370181560516e-02,1.215680595487356186e-02
1.536914333701133728e-02,1.225842628628015518e-02
1.546270959079265594e-02,1.230631023645401001e-02
1.549692358821630478e-02,1.229126378893852234e-02
1.550216414034366608e-02,1.229688432067632675e-02
1.553379092365503311e-02,1.237337663769721985e-02
1.556044816970825195e-02,1.246249675750732422e-02
1.553092803806066513e-02,1.248437538743019104e-02
1.546626724302768707e-02,1.243845745921134949e-02
1.541467569768428802e-02,1.237375382333993912e-02
1.536679267883300781e-02,1.230895239859819412e-02
1.529146172106266022e-02,1.223647035658359528e-02
1.520864013582468033e-02,1.216035708785057068e-02
1.514539215713739395e-02,1.208452228456735611e-02
1.508634537458419800e-02,1.199636328965425491e-02
1.501591224223375320e-02,1.190370693802833557e-02
1.495471317321062088e-02,1.184948347508907318e-02
