# Train loss, Test loss
2.412317693233489990e-01,2.311358302831649780e-01
1.740521192550659180e-01,1.742810755968093872e-01
1.184162497520446777e-01,1.203068643808364868e-01
7.147377729415893555e-02,7.291174679994583130e-02
4.216179251670837402e-02,4.450878128409385681e-02
5.027821660041809082e-02,5.048425495624542236e-02
5.026236549019813538e-02,5.317163467407226562e-02
4.626467823982238770e-02,5.479950085282325745e-02
4.328666627407073975e-02,5.404061824083328247e-02
4.266921058297157288e-02,5.055253207683563232e-02
4.073876515030860901e-02,4.694516956806182861e-02
3.892775624990463257e-02,4.115648567676544189e-02
3.741704300045967102e-02,3.686810657382011414e-02
3.595197200775146484e-02,3.297427669167518616e-02
3.397306799888610840e-02,3.092643059790134430e-02
3.044278174638748169e-02,2.802886068820953369e-02
2.610374614596366882e-02,2.451435849070549011e-02
2.236549183726310730e-02,2.117590978741645813e-02
1.967940293252468109e-02,1.903436146676540375e-02
1.916426606476306915e-02,1.905295439064502716e-02
1.833614520728588104e-02,1.799989305436611176e-02
1.763870567083358765e-02,1.486689597368240356e-02
1.626863889396190643e-02,1.307102479040622711e-02
1.551815494894981384e-02,1.308200694620609283e-02
1.517334301024675369e-02,1.336719840764999390e-02
1.468452811241149902e-02,1.343630906194448471e-02
1.382922753691673279e-02,1.322302781045436859e-02
1.285409834235906601e-02,1.212395820766687393e-02
1.252553239464759827e-02,1.091235782951116562e-02
1.206328906118869781e-02,1.095994934439659119e-02
1.096443552523851395e-02,1.112051866948604584e-02
1.015118602663278580e-02,1.105523481965065002e-02
8.682910352945327759e-03,1.044859644025564194e-02
7.330760359764099121e-03,1.033350080251693726e-02
7.978759706020355225e-03,1.094646658748388290e-02
8.439084514975547791e-03,1.105537172406911850e-02
8.605828508734703064e-03,1.116914022713899612e-02
8.580599911510944366e-03,1.127996481955051422e-02
8.578224107623100281e-03,1.163794286549091339e-02
8.457866497337818146e-03,1.216680649667978287e-02
8.186340332031250000e-03,1.234880182892084122e-02
8.050308562815189362e-03,1.221773866564035416e-02
7.785427384078502655e-03,1.174727361649274826e-02
7.264537271112203598e-03,1.070276368409395218e-02
6.692379713058471680e-03,9.622406214475631714e-03
6.631084252148866653e-03,9.140437468886375427e-03
7.006814703345298767e-03,9.204743430018424988e-03
7.103289477527141571e-03,9.212620556354522705e-03
6.843043491244316101e-03,8.984977379441261292e-03
6.626729853451251984e-03,8.782740682363510132e-03
6.531376857310533524e-03,8.776098489761352539e-03
6.453512236475944519e-03,8.947487920522689819e-03
6.471721455454826355e-03,9.214943274855613708e-03
6.543672177940607071e-03,9.461346082389354706e-03
6.662268657237291336e-03,9.536652825772762299e-03
6.675933487713336945e-03,9.456784464418888092e-03
6.530373822897672653e-03,9.265125729143619537e-03
6.344341207295656204e-03,9.070117026567459106e-03
6.202453281730413437e-03,8.962372317910194397e-03
6.230167113244533539e-03,9.002377279102802277e-03
6.282608956098556519e-03,9.077084250748157501e-03
6.289409939199686050e-03,9.070774540305137634e-03
6.272791419178247452e-03,8.990446105599403381e-03
6.242123898118734360e-03,8.896125480532646179e-03
6.186642218381166458e-03,8.849653415381908417e-03
6.144372746348381042e-03,8.883011527359485626e-03
6.125953048467636108e-03,8.958510123193264008e-03
6.111581344157457352e-03,9.034336544573307037e-03
6.111103110015392303e-03,9.116016328334808350e-03
6.131807342171669006e-03,9.195067919790744781e-03
6.150358356535434723e-03,9.225801564753055573e-03
6.136368960142135620e-03,9.177561849355697632e-03
6.100072991102933884e-03,9.080272167921066284e-03
6.080152932554483414e-03,8.990632370114326477e-03
6.082345265895128250e-03,8.939517661929130554e-03
6.080958992242813110e-03,8.933994919061660767e-03
6.070929579436779022e-03,8.985709398984909058e-03
6.067918613553047180e-03,9.079460985958576202e-03
6.068856921046972275e-03,9.154811501502990723e-03
6.058841943740844727e-03,9.168062359094619751e-03
6.044713314622640610e-03,9.138924069702625275e-03
6.047198083251714706e-03,9.110542945563793182e-03
6.061379332095384598e-03,9.086822159588336945e-03
6.062174215912818909e-03,9.044726379215717316e-03
6.048053503036499023e-03,8.983082138001918793e-03
6.038510240614414215e-03,8.923769928514957428e-03
6.038734689354896545e-03,8.877296932041645050e-03
6.037462502717971802e-03,8.841063827276229858e-03
6.033319048583507538e-03,8.819243870675563812e-03
6.035798229277133942e-03,8.822414092719554901e-03
6.043274421244859695e-03,8.846545591950416565e-03
6.043184548616409302e-03,8.875269442796707153e-03
6.034998688846826553e-03,8.904346264898777008e-03
6.029554177075624466e-03,8.940250612795352936e-03
6.030071992427110672e-03,8.977979421615600586e-03
6.031200755387544632e-03,9.000498801469802856e-03
6.030747666954994202e-03,8.998927660286426544e-03
6.030682474374771118e-03,8.981311693787574768e-03
6.030967459082603455e-03,8.962010033428668976e-03
6.030031479895114899e-03,8.950800634920597076e-03
6.028591189533472061e-03,8.950427174568176270e-03
6.028218660503625870e-03,8.957094512879848480e-03
6.028258241713047028e-03,8.962263353168964386e-03
6.028011441230773926e-03,8.959804661571979523e-03
6.027374416589736938e-03,8.951526135206222534e-03
6.026561837643384933e-03,8.944164030253887177e-03
6.026206072419881821e-03,8.943124674260616302e-03
6.026655901223421097e-03,8.948102593421936035e-03
6.027203053236007690e-03,8.956168778240680695e-03
6.027265917509794235e-03,8.963138796389102936e-03
6.026874762028455734e-03,8.964838460087776184e-03
6.026173941791057587e-03,8.958349004387855530e-03
6.025397684425115585e-03,8.944864384829998016e-03
6.025056820362806320e-03,8.930386975407600403e-03
6.025431677699089050e-03,8.923378773033618927e-03
6.025887560099363327e-03,8.928596042096614838e-03
6.025786511600017548e-03,8.943547494709491730e-03
6.025525741279125214e-03,8.959663100540637970e-03
6.025482900440692902e-03,8.967274799942970276e-03
6.025346461683511734e-03,8.962763473391532898e-03
6.025140173733234406e-03,8.951145224273204803e-03
6.025192327797412872e-03,8.941126056015491486e-03
6.025327369570732117e-03,8.938122540712356567e-03
6.025182083249092102e-03,8.941399864852428436e-03
6.024980917572975159e-03,8.946076966822147369e-03
6.025022361427545547e-03,8.947447873651981354e-03
6.025090347975492477e-03,8.943744003772735596e-03
6.025032605975866318e-03,8.936972357332706451e-03
6.024989299476146698e-03,8.930739015340805054e-03
6.024950649589300156e-03,8.929221890866756439e-03
6.024842150509357452e-03,8.934048004448413849e-03
6.024807691574096680e-03,8.943689987063407898e-03
6.024898961186408997e-03,8.953444659709930420e-03
6.024948321282863617e-03,8.958166465163230896e-03
6.024905014783143997e-03,8.956138975918292999e-03
6.024866830557584763e-03,8.950389921665191650e-03
6.024843081831932068e-03,8.945983834564685822e-03
6.024801172316074371e-03,8.945896290242671967e-03
6.024792790412902832e-03,8.949053473770618439e-03
6.024824921041727066e-03,8.951839059591293335e-03
6.024829111993312836e-03,8.951381780207157135e-03
6.024797447025775909e-03,8.947716094553470612e-03
6.024777889251708984e-03,8.943207561969757080e-03
6.024756934493780136e-03,8.940380066633224487e-03
6.024773698300123215e-03,8.940330706536769867e-03
6.024773698300123215e-03,8.942563086748123169e-03
6.024754140526056290e-03,8.945562876760959625e-03
6.024737842381000519e-03,8.947501890361309052e-03
6.024730857461690903e-03,8.947174064815044403e-03
6.024727132171392441e-03,8.944891393184661865e-03
6.024734582751989365e-03,8.942471817135810852e-03
6.024747621268033981e-03,8.941892534494400024e-03
6.024740170687437057e-03,8.943665772676467896e-03
6.024720612913370132e-03,8.946454152464866638e-03
6.024748086929321289e-03,8.948278613388538361e-03
6.024751812219619751e-03,8.948161266744136810e-03
6.024752743542194366e-03,8.946661837399005890e-03
6.024756003171205521e-03,8.945081382989883423e-03
6.024757400155067444e-03,8.944305591285228729e-03
6.024748086929321289e-03,8.944439701735973358e-03
6.024741102010011673e-03,8.945086970925331116e-03
6.024743430316448212e-03,8.945687673985958099e-03
6.024743895977735519e-03,8.945751003921031952e-03
6.024742498993873596e-03,8.945138193666934967e-03
6.024745292961597443e-03,8.944327011704444885e-03
6.024746689945459366e-03,8.944198489189147949e-03
6.024743895977735519e-03,8.945287205278873444e-03
6.024743430316448212e-03,8.947169408202171326e-03
6.024743430316448212e-03,8.948692120611667633e-03
6.024743430316448212e-03,8.948897942900657654e-03
6.024742033332586288e-03,8.947751484811306000e-03
6.024742498993873596e-03,8.946032263338565826e-03
