# Train loss, Test loss
4.388590157032012939e-01,4.346544444561004639e-01
3.910214900970458984e-01,3.921260237693786621e-01
3.288849592208862305e-01,3.264933228492736816e-01
2.480318099260330200e-01,2.434147596359252930e-01
1.825056821107864380e-01,1.783867478370666504e-01
1.253511011600494385e-01,1.264893114566802979e-01
9.070934355258941650e-02,9.584000706672668457e-02
7.042232155799865723e-02,6.239840015769004822e-02
6.146949157118797302e-02,5.128320679068565369e-02
6.770440191030502319e-02,6.294342130422592163e-02
7.036466896533966064e-02,6.795320659875869751e-02
5.663251876831054688e-02,5.539336055517196655e-02
3.590713813900947571e-02,3.626906871795654297e-02
3.216539323329925537e-02,3.653253242373466492e-02
3.816636651754379272e-02,4.787516221404075623e-02
3.930749744176864624e-02,5.167646333575248718e-02
3.342862054705619812e-02,4.581372067332267761e-02
2.999271452426910400e-02,3.854683414101600647e-02
3.091531805694103241e-02,3.674183040857315063e-02
2.197360061109066010e-02,2.594292350113391876e-02
1.220652367919683456e-02,1.614059694111347198e-02
1.662245579063892365e-02,2.486803941428661346e-02
2.274811826646327972e-02,3.481393679976463318e-02
1.362694241106510162e-02,2.237414382398128510e-02
9.700451046228408813e-03,1.435949653387069702e-02
1.355366222560405731e-02,1.691863872110843658e-02
1.501048728823661804e-02,1.925661228597164154e-02
1.317894179373979568e-02,1.991205848753452301e-02
1.359752658754587173e-02,2.356081269681453705e-02
1.298178452998399734e-02,2.336086891591548920e-02
9.992917999625205994e-03,1.771107688546180725e-02
1.002276409417390823e-02,1.450642570853233337e-02
1.029566023498773575e-02,1.368443295359611511e-02
8.849934674799442291e-03,1.309663616120815277e-02
8.393653668463230133e-03,1.463455241173505783e-02
9.669806808233261108e-03,1.760545372962951660e-02
8.996447548270225525e-03,1.676591858267784119e-02
7.689234800636768341e-03,1.402205973863601685e-02
7.991202175617218018e-03,1.328147761523723602e-02
8.066929876804351807e-03,1.343301497399806976e-02
7.428643293678760529e-03,1.406293269246816635e-02
7.222816348075866699e-03,1.567481830716133118e-02
6.822415161877870560e-03,1.618362031877040863e-02
6.135755684226751328e-03,1.501133572310209274e-02
6.215151399374008179e-03,1.413723826408386230e-02
6.388986017554998398e-03,1.364625338464975357e-02
6.161154713481664658e-03,1.327966526150703430e-02
6.189227569848299026e-03,1.347885746508836746e-02
5.946481600403785706e-03,1.339527126401662827e-02
5.509096197783946991e-03,1.321321167051792145e-02
5.648193880915641785e-03,1.358901616185903549e-02
5.774425342679023743e-03,1.406668778508901596e-02
5.563593935221433640e-03,1.413036789745092392e-02
5.277052056044340134e-03,1.372636947780847549e-02
5.080646369606256485e-03,1.295474078506231308e-02
5.082560703158378601e-03,1.226550806313753128e-02
5.189930088818073273e-03,1.201230380684137344e-02
5.049309693276882172e-03,1.207331661134958267e-02
4.768808372318744659e-03,1.242556236684322357e-02
4.610514733940362930e-03,1.297647319734096527e-02
4.543897695839405060e-03,1.336070708930492401e-02
4.583017900586128235e-03,1.349194254726171494e-02
4.659327678382396698e-03,1.333795208483934402e-02
4.587610252201557159e-03,1.291917078197002411e-02
4.556974861770868301e-03,1.271605491638183594e-02
4.620509222149848938e-03,1.260820869356393814e-02
4.629267845302820206e-03,1.234623417258262634e-02
4.575382918119430542e-03,1.207568123936653137e-02
4.514272324740886688e-03,1.207902468740940094e-02
4.441259894520044327e-03,1.239466108381748199e-02
4.457238595932722092e-03,1.289915386587381363e-02
4.509157966822385788e-03,1.320258341729640961e-02
4.460426047444343567e-03,1.300760731101036072e-02
4.386059474200010300e-03,1.255729142576456070e-02
4.362909123301506042e-03,1.221399474889039993e-02
4.386175889521837234e-03,1.210377085953950882e-02
4.428240470588207245e-03,1.212220359593629837e-02
4.379603080451488495e-03,1.207398623228073120e-02
4.332565702497959137e-03,1.211666781455278397e-02
4.306872840970754623e-03,1.231705211102962494e-02
4.318252671509981155e-03,1.255828700959682465e-02
4.326077178120613098e-03,1.260862965136766434e-02
4.300876054912805557e-03,1.240984722971916199e-02
4.280542023479938507e-03,1.213635131716728210e-02
4.265666473656892776e-03,1.193925179541110992e-02
4.260418005287647247e-03,1.184450648725032806e-02
4.249805584549903870e-03,1.177896000444889069e-02
4.240268841385841370e-03,1.176075451076030731e-02
4.231532104313373566e-03,1.183939445763826370e-02
4.218723624944686890e-03,1.196934934705495834e-02
4.205687437206506729e-03,1.204287074506282806e-02
4.193387459963560104e-03,1.202690135687589645e-02
4.190905485302209854e-03,1.190255489200353622e-02
4.187807906419038773e-03,1.182326395064592361e-02
4.179636482149362564e-03,1.177734695374965668e-02
4.168307874351739883e-03,1.171596068888902664e-02
4.165281541645526886e-03,1.170571148395538330e-02
4.162870813161134720e-03,1.174993626773357391e-02
4.156555980443954468e-03,1.179358270019292831e-02
4.147028550505638123e-03,1.179254055023193359e-02
4.145632497966289520e-03,1.177970040589570999e-02
4.158893134444952011e-03,1.180864032357931137e-02
4.152644425630569458e-03,1.168814860284328461e-02
4.139443859457969666e-03,1.174289546906948090e-02
4.144086036831140518e-03,1.172235794365406036e-02
4.143821541219949722e-03,1.186120696365833282e-02
4.162249621003866196e-03,1.190511975437402725e-02
4.137499257922172546e-03,1.176088117063045502e-02
4.150923341512680054e-03,1.170166116207838058e-02
4.154484253376722336e-03,1.149896439164876938e-02
4.162172786891460419e-03,1.149335131049156189e-02
4.135754425078630447e-03,1.160282921046018600e-02
4.139328375458717346e-03,1.178485620766878128e-02
4.181298427283763885e-03,1.199659984558820724e-02
4.143154714256525040e-03,1.183820515871047974e-02
4.136397037655115128e-03,1.168176624923944473e-02
4.134664312005043030e-03,1.156737841665744781e-02
4.134392365813255310e-03,1.153478585183620453e-02
4.123133607208728790e-03,1.164336223155260086e-02
4.138336982578039169e-03,1.178129203617572784e-02
4.133547190576791763e-03,1.170718669891357422e-02
4.128253553062677383e-03,1.167258713394403458e-02
4.124788101762533188e-03,1.169931050390005112e-02
4.123225342482328415e-03,1.158718299120664597e-02
4.156801849603652954e-03,1.158540789037942886e-02
4.116904456168413162e-03,1.179377268999814987e-02
4.138311836868524551e-03,1.182754151523113251e-02
