# Train loss, Test loss
1.242050454020500183e-01,1.238048896193504333e-01
1.065890192985534668e-01,1.064795702695846558e-01
9.034518897533416748e-02,9.044828265905380249e-02
7.376903295516967773e-02,7.410161942243576050e-02
5.718497559428215027e-02,5.824111774563789368e-02
4.558103531599044800e-02,4.794869944453239441e-02
3.638575226068496704e-02,3.890839219093322754e-02
2.698857523500919342e-02,2.866229414939880371e-02
1.830213703215122223e-02,1.937777176499366760e-02
1.247795857489109039e-02,1.345032826066017151e-02
1.084210723638534546e-02,1.264698337763547897e-02
1.092772744596004486e-02,1.277739461511373520e-02
1.010730769485235214e-02,1.133043505251407623e-02
8.391594514250755310e-03,8.684806525707244873e-03
6.751555018126964569e-03,6.362573243677616119e-03
6.064062472432851791e-03,5.316982977092266083e-03
6.191937718540430069e-03,5.375867709517478943e-03
6.160194519907236099e-03,5.575566086918115616e-03
5.376555956900119781e-03,5.105365533381700516e-03
4.090690519660711288e-03,4.095573443919420242e-03
3.139227861538529396e-03,3.407242940738797188e-03
2.876057988032698631e-03,3.217208432033658028e-03
2.995195332914590836e-03,3.313941415399312973e-03
3.148401156067848206e-03,3.433348145335912704e-03
3.163732122629880905e-03,3.397042630240321159e-03
2.874692669138312340e-03,3.099384484812617302e-03
2.371283713728189468e-03,2.621921477839350700e-03
1.907428493723273277e-03,2.226162469014525414e-03
1.694948528893291950e-03,2.100316109135746956e-03
1.777602359652519226e-03,2.245369832962751389e-03
1.979396678507328033e-03,2.448604907840490341e-03
2.032185904681682587e-03,2.484346972778439522e-03
1.860429067164659500e-03,2.296773483976721764e-03
1.589703373610973358e-03,2.010078867897391319e-03
1.376877422444522381e-03,1.787951099686324596e-03
1.315068569965660572e-03,1.714227255433797836e-03
1.342457719147205353e-03,1.726997201330959797e-03
1.300990930758416653e-03,1.681315246969461441e-03
1.184789231047034264e-03,1.571846893057227135e-03
1.098009641282260418e-03,1.510068075731396675e-03
1.071264618076384068e-03,1.538376556709408760e-03
1.089670811779797077e-03,1.627537771128118038e-03
1.116358907893300056e-03,1.716738450340926647e-03
1.102869631722569466e-03,1.724001951515674591e-03
1.019755029119551182e-03,1.621979172341525555e-03
9.251607116311788559e-04,1.480692764744162560e-03
8.671180112287402153e-04,1.370625221170485020e-03
8.400526130571961403e-04,1.306231715716421604e-03
8.282298222184181213e-04,1.272300491109490395e-03
8.090479532256722450e-04,1.234578201547265053e-03
7.665657321922481060e-04,1.169184455648064613e-03
7.267659530043601990e-04,1.104364637285470963e-03
7.186251459643244743e-04,1.077623805031180382e-03
7.305854815058410168e-04,1.083770068362355232e-03
7.399026071652770042e-04,1.096745138056576252e-03
7.337451679632067680e-04,1.094187027774751186e-03
7.100295624695718288e-04,1.067133387550711632e-03
6.875852122902870178e-04,1.034159329719841480e-03
6.832015933468937874e-04,1.019621035084128380e-03
6.861155852675437927e-04,1.023182878270745277e-03
6.803013384342193604e-04,1.030128332786262035e-03
6.641796207986772060e-04,1.029338221997022629e-03
6.466576014645397663e-04,1.019633258692920208e-03
6.390323396772146225e-04,1.010871143080294132e-03
6.420168792828917503e-04,1.010281965136528015e-03
6.435901741497218609e-04,1.011924236081540585e-03
