# Train loss, Test loss
1.115829050540924072e-01,1.281456649303436279e-01
9.389972686767578125e-02,1.113217473030090332e-01
7.890978455543518066e-02,9.627386927604675293e-02
6.489979475736618042e-02,8.167482167482376099e-02
5.227161571383476257e-02,6.784258037805557251e-02
4.322854056954383850e-02,5.592592433094978333e-02
3.567523136734962463e-02,4.571257159113883972e-02
2.894713543355464935e-02,3.672665730118751526e-02
2.256824448704719543e-02,2.818872220814228058e-02
1.648601330816745758e-02,2.029840648174285889e-02
1.208723615854978561e-02,1.489351410418748856e-02
1.130979973822832108e-02,1.349032390862703323e-02
1.286458875983953476e-02,1.423587463796138763e-02
1.168009452521800995e-02,1.190438307821750641e-02
8.156752213835716248e-03,7.615621201694011688e-03
6.526521407067775726e-03,6.136032287031412125e-03
7.303885184228420258e-03,6.829049903899431229e-03
7.322140969336032867e-03,6.926903501152992249e-03
6.113486364483833313e-03,5.940700415521860123e-03
4.954024218022823334e-03,4.903826396912336349e-03
4.363386891782283783e-03,4.375275224447250366e-03
4.154986701905727386e-03,4.236155189573764801e-03
3.993655089288949966e-03,4.084652755409479141e-03
3.634643973782658577e-03,3.821280784904956818e-03
3.068072255700826645e-03,3.497689729556441307e-03
2.614783821627497673e-03,3.369828918948769569e-03
2.763424534350633621e-03,3.764052642509341240e-03
3.089997917413711548e-03,4.129882436245679855e-03
2.729746978729963303e-03,3.594354493543505669e-03
2.035436453297734261e-03,2.678031334653496742e-03
1.725454581901431084e-03,2.319509163498878479e-03
1.909993705339729786e-03,2.595331054180860519e-03
2.182526281103491783e-03,2.922741230577230453e-03
2.149333478882908821e-03,2.861153567209839821e-03
1.872902503237128258e-03,2.502405317500233650e-03
1.644828938879072666e-03,2.178255002945661545e-03
1.584114274010062218e-03,2.050723182037472725e-03
1.522392150945961475e-03,1.985681708902120590e-03
1.333436113782227039e-03,1.858064904808998108e-03
1.200092607177793980e-03,1.800311030820012093e-03
1.253243302926421165e-03,1.884112134575843811e-03
1.297238748520612717e-03,1.909625716507434845e-03
1.205021282657980919e-03,1.748717390000820160e-03
1.086748787201941013e-03,1.542629208415746689e-03
1.071290695108473301e-03,1.459931838326156139e-03
1.102336449548602104e-03,1.462600077502429485e-03
1.083484617993235588e-03,1.451175543479621410e-03
1.022604294121265411e-03,1.426885835826396942e-03
9.867169428616762161e-04,1.443275483325123787e-03
9.897645795717835426e-04,1.486078719608485699e-03
9.845052845776081085e-04,1.504990272223949432e-03
9.413555962964892387e-04,1.472918898798525333e-03
8.954152581281960011e-04,1.427202951163053513e-03
8.682563784532248974e-04,1.407938660122454166e-03
8.451317553408443928e-04,1.404114183969795704e-03
8.129779598675668240e-04,1.384039991535246372e-03
7.869100663810968399e-04,1.356284017674624920e-03
7.812204421497881413e-04,1.330599654465913773e-03
7.796170539222657681e-04,1.308641862124204636e-03
7.602370460517704487e-04,1.269977539777755737e-03
7.364478660747408867e-04,1.243445789441466331e-03
7.315252441912889481e-04,1.259841490536928177e-03
7.323328172788023949e-04,1.289508654735982418e-03
7.165801944211125374e-04,1.289497246034443378e-03
6.941609317436814308e-04,1.258179428987205029e-03
6.837881519459187984e-04,1.232287962920963764e-03
6.757538067176938057e-04,1.215132302604615688e-03
6.569082615897059441e-04,1.193737611174583435e-03
6.418926641345024109e-04,1.184509135782718658e-03
6.395968375727534294e-04,1.196945318952202797e-03
6.346506997942924500e-04,1.206532586365938187e-03
6.203553057275712490e-04,1.198305515572428703e-03
6.093817646615207195e-04,1.180421677418053150e-03
6.052492535673081875e-04,1.157206366769969463e-03
5.974359228275716305e-04,1.122223562560975552e-03
5.871144239790737629e-04,1.095207757316529751e-03
5.828561843372881413e-04,1.078195869922637939e-03
5.807104171253740788e-04,1.062639174051582813e-03
5.731339333578944206e-04,1.038744929246604443e-03
5.639111041091382504e-04,1.017914502881467342e-03
5.575969116762280464e-04,1.012328662909567356e-03
5.511434283107519150e-04,1.019180752336978912e-03
5.439911037683486938e-04,1.032080850563943386e-03
5.387409473769366741e-04,1.043030293658375740e-03
5.349149578250944614e-04,1.043005497194826603e-03
5.294237635098397732e-04,1.031436841003596783e-03
5.239382735453546047e-04,1.015081536024808884e-03
5.201246822252869606e-04,1.001283060759305954e-03
5.165632464922964573e-04,9.897785494104027748e-04
5.119427805766463280e-04,9.786591399461030960e-04
5.071345367468893528e-04,9.647464030422270298e-04
5.025675054639577866e-04,9.449585922993719578e-04
4.977174685336649418e-04,9.259635698981583118e-04
4.929509595967829227e-04,9.112976840697228909e-04
4.892672295682132244e-04,9.011707152239978313e-04
4.860498011112213135e-04,8.922852575778961182e-04
4.821916518267244101e-04,8.799232309684157372e-04
4.782907781191170216e-04,8.641178137622773647e-04
4.749383660964667797e-04,8.504615980200469494e-04
4.713668604381382465e-04,8.412517490796744823e-04
4.676330718211829662e-04,8.375673205591738224e-04
4.645786830224096775e-04,8.371436852030456066e-04
4.614377103280276060e-04,8.358781924471259117e-04
4.578751104418188334e-04,8.317798492498695850e-04
4.546143172774463892e-04,8.258104207925498486e-04
4.517067573033273220e-04,8.190727676264941692e-04
4.485727113205939531e-04,8.115269592963159084e-04
4.455349408090114594e-04,8.041118271648883820e-04
4.426965315360575914e-04,7.950111757963895798e-04
4.398431337904185057e-04,7.844620267860591412e-04
4.370419483166188002e-04,7.740516448393464088e-04
4.344643093645572662e-04,7.658273098058998585e-04
4.318831779528409243e-04,7.602125406265258789e-04
4.292657249607145786e-04,7.561024976894259453e-04
4.267847398295998573e-04,7.516542682424187660e-04
4.243619623593986034e-04,7.461527129635214806e-04
