# Train loss, Test loss
3.664959967136383057e-02,4.763501510024070740e-02
3.022921085357666016e-02,3.897799178957939148e-02
2.451944351196289062e-02,3.109335340559482574e-02
2.043770253658294678e-02,2.564553730189800262e-02
1.632176339626312256e-02,2.000248618423938751e-02
1.385551225394010544e-02,1.668783836066722870e-02
1.162925828248262405e-02,1.395261194556951523e-02
1.023505907505750656e-02,1.258965954184532166e-02
9.840599261224269867e-03,1.281353086233139038e-02
9.133568033576011658e-03,1.164305489510297775e-02
8.489244617521762848e-03,9.666347876191139221e-03
7.569383364170789719e-03,7.750974968075752258e-03
6.389750633388757706e-03,6.904033478349447250e-03
5.625646095722913742e-03,7.068448700010776520e-03
5.152362398803234100e-03,7.180030457675457001e-03
5.034216213971376419e-03,6.757427472621202469e-03
4.912844393402338028e-03,5.877912510186433792e-03
4.667160101234912872e-03,4.862518515437841415e-03
4.403401166200637817e-03,4.083123989403247833e-03
4.317387938499450684e-03,3.776845987886190414e-03
4.337591584771871567e-03,3.731998847797513008e-03
4.300211556255817413e-03,3.375286469236016273e-03
4.193161614239215851e-03,3.179360413923859596e-03
4.054477438330650330e-03,3.127472475171089172e-03
3.892250126227736473e-03,3.187668044120073318e-03
3.760368563234806061e-03,3.057042369619011879e-03
3.652663202956318855e-03,2.750961575657129288e-03
3.590673906728625298e-03,2.506103133782744408e-03
3.519754623994231224e-03,2.383372746407985687e-03
3.396491985768079758e-03,2.303582848981022835e-03
3.291349625214934349e-03,2.199350623413920403e-03
3.277461044490337372e-03,2.093441318720579147e-03
3.245683386921882629e-03,1.892318134196102619e-03
3.204806474968791008e-03,1.775802811607718468e-03
3.186952089890837669e-03,1.823049038648605347e-03
3.182296175509691238e-03,1.871205284260213375e-03
3.144175047054886818e-03,1.895461697131395340e-03
2.974837319925427437e-03,1.872273976914584637e-03
2.771655563265085220e-03,1.791588962078094482e-03
2.543687587603926659e-03,1.695073791779577732e-03
2.238941844552755356e-03,1.668849145062267780e-03
1.910318271256983280e-03,1.725857611745595932e-03
1.584983197972178459e-03,1.814139191992580891e-03
1.460422761738300323e-03,1.874578883871436119e-03
1.472889794968068600e-03,1.761912717483937740e-03
1.432152930647134781e-03,1.556577044539153576e-03
1.360524795018136501e-03,1.467186608351767063e-03
1.309484592638909817e-03,1.479474594816565514e-03
1.189989270642399788e-03,1.580208074301481247e-03
1.006908598355948925e-03,1.682017697021365166e-03
8.711128029972314835e-04,1.675993902608752251e-03
8.054776699282228947e-04,1.637041568756103516e-03
7.669450133107602596e-04,1.638385467231273651e-03
7.462686044164001942e-04,1.584616140462458134e-03
7.446616655215620995e-04,1.558317686431109905e-03
7.431344711221754551e-04,1.586825354024767876e-03
7.460825727321207523e-04,1.551728579215705395e-03
7.504412787966430187e-04,1.421209075488150120e-03
7.647062884643673897e-04,1.256024930626153946e-03
7.780063897371292114e-04,1.128176343627274036e-03
7.777381106279790401e-04,1.013260916806757450e-03
7.606074796058237553e-04,9.465087205171585083e-04
7.233361830003559589e-04,9.581683552823960781e-04
6.735798087902367115e-04,1.087784417904913425e-03
6.415819516405463219e-04,1.228705164976418018e-03
6.330045289359986782e-04,1.294850371778011322e-03
6.419768906198441982e-04,1.282165292650461197e-03
6.542483461089432240e-04,1.279058400541543961e-03
6.565549410879611969e-04,1.316167763434350491e-03
6.527138757519423962e-04,1.355007989332079887e-03
6.418409757316112518e-04,1.325848395936191082e-03
6.290387245826423168e-04,1.244865008629858494e-03
6.237294292077422142e-04,1.147823990322649479e-03
6.219677743501961231e-04,1.092893886379897594e-03
6.129866233095526695e-04,1.035453053191304207e-03
6.002628942951560020e-04,9.938639122992753983e-04
5.932616768404841423e-04,1.004064106382429600e-03
5.915707442909479141e-04,1.070155529305338860e-03
5.947126774117350578e-04,1.152862794697284698e-03
6.002477020956575871e-04,1.219059107825160027e-03
6.024726317264139652e-04,1.237797550857067108e-03
6.002260488457977772e-04,1.222476246766746044e-03
5.918110255151987076e-04,1.194057636894285679e-03
5.841323873028159142e-04,1.180103980004787445e-03
5.812783492729067802e-04,1.178464503027498722e-03
5.828345892950892448e-04,1.164351589977741241e-03
5.841372767463326454e-04,1.127055496908724308e-03
5.825187545269727707e-04,1.087722601369023323e-03
5.799356731586158276e-04,1.073813764378428459e-03
5.780851934105157852e-04,1.090124598704278469e-03
5.783488159067928791e-04,1.117585226893424988e-03
5.801197839900851250e-04,1.137262675911188126e-03
5.811802111566066742e-04,1.146892667748034000e-03
5.797483609057962894e-04,1.152244163677096367e-03
5.771904252469539642e-04,1.155038364231586456e-03
5.751073476858437061e-04,1.153190853074193001e-03
5.740501801483333111e-04,1.145203597843647003e-03
5.752863944508135319e-04,1.133352285251021385e-03
5.763447843492031097e-04,1.120727509260177612e-03
5.763220251537859440e-04,1.108627649955451488e-03
5.755922175012528896e-04,1.097266445867717266e-03
5.741434288211166859e-04,1.091210055164992809e-03
5.737618193961679935e-04,1.095045241527259350e-03
5.737476749345660210e-04,1.105708652175962925e-03
5.739154876209795475e-04,1.115514198318123817e-03
5.736071034334599972e-04,1.119235530495643616e-03
5.729203694500029087e-04,1.120442640967667103e-03
5.725749069824814796e-04,1.123705995269119740e-03
5.726970266550779343e-04,1.128825242631137371e-03
5.729497061111032963e-04,1.131339929997920990e-03
5.732164718210697174e-04,1.128231990151107311e-03
5.731359706260263920e-04,1.122957677580416203e-03
5.727299139834940434e-04,1.119434251450002193e-03
5.723640206269919872e-04,1.118684536777436733e-03
5.722779314965009689e-04,1.118618645705282688e-03
5.724639631807804108e-04,1.118380343541502953e-03
5.724452785216271877e-04,1.118311309255659580e-03
5.721543566323816776e-04,1.118157524615526199e-03
5.719343316741287708e-04,1.117118052206933498e-03
5.717401509173214436e-04,1.116055063903331757e-03
5.714971339330077171e-04,1.118976157158613205e-03
5.720155895687639713e-04,1.122695975936949253e-03
5.722690257243812084e-04,1.125902403146028519e-03
5.722351488657295704e-04,1.125580398365855217e-03
5.723127978853881359e-04,1.121170236729085445e-03
5.720882909372448921e-04,1.123888650909066200e-03
5.715209990739822388e-04,1.125960494391620159e-03
5.719027831219136715e-04,1.125793438404798508e-03
5.723345093429088593e-04,1.125568524003028870e-03
5.720453918911516666e-04,1.120777567848563194e-03
5.718793254345655441e-04,1.116067520342767239e-03
5.721993511542677879e-04,1.115357037633657455e-03
5.716260056942701340e-04,1.116917002946138382e-03
5.718076718039810658e-04,1.122576068155467510e-03
5.719868349842727184e-04,1.121214940212666988e-03
5.717403837479650974e-04,1.117479521781206131e-03
5.714612198062241077e-04,1.115553197450935841e-03
5.720157059840857983e-04,1.121300389058887959e-03
5.719828768633306026e-04,1.124205882661044598e-03
5.721789202652871609e-04,1.123236026614904404e-03
5.719880573451519012e-04,1.119734952226281166e-03
5.721516208723187447e-04,1.117010135203599930e-03
5.719742039218544960e-04,1.117357751354575157e-03
5.716388113796710968e-04,1.119245658628642559e-03
5.716389277949929237e-04,1.122933579608798027e-03
5.714033613912761211e-04,1.123956171795725822e-03
5.719826440326869488e-04,1.123940455727279186e-03
5.714654689654707909e-04,1.118765794672071934e-03
5.714871804229915142e-04,1.119428547099232674e-03
5.720399785786867142e-04,1.124334055930376053e-03
5.718206521123647690e-04,1.127412891946732998e-03
5.720888730138540268e-04,1.125643379054963589e-03
5.728859687224030495e-04,1.115115475840866566e-03
5.718055181205272675e-04,1.114116283133625984e-03
5.717713502235710621e-04,1.121089095249772072e-03
5.721357301808893681e-04,1.125123002566397190e-03
5.714592407457530499e-04,1.124402740970253944e-03
5.719055188819766045e-04,1.115355873480439186e-03
5.717821768485009670e-04,1.115712337195873260e-03
5.716652958653867245e-04,1.121258712373673916e-03
5.714751314371824265e-04,1.125408452935516834e-03
5.715406150557100773e-04,1.122705172747373581e-03
5.714165163226425648e-04,1.118353102356195450e-03
5.717500462196767330e-04,1.119522494263947010e-03
5.717886961065232754e-04,1.122165354900062084e-03
5.708576063625514507e-04,1.121260924264788628e-03
5.714126164093613625e-04,1.116817584261298180e-03
5.712711135856807232e-04,1.115482184104621410e-03
5.714803701266646385e-04,1.117877545766532421e-03
5.715095903724431992e-04,1.121070119552314281e-03
5.714879371225833893e-04,1.121632871218025684e-03
5.715073202736675739e-04,1.120688626542687416e-03
5.714165745303034782e-04,1.120301429182291031e-03
5.714689032174646854e-04,1.119707478210330009e-03
5.714693106710910797e-04,1.118237152695655823e-03
5.714804283343255520e-04,1.117799198254942894e-03
5.711214034818112850e-04,1.119317021220922470e-03
5.713721620850265026e-04,1.120084431022405624e-03
5.714286817237734795e-04,1.120483735576272011e-03
5.713841528631746769e-04,1.120264991186559200e-03
5.711710546165704727e-04,1.120920293033123016e-03
5.711549310944974422e-04,1.121719134971499443e-03
5.714008584618568420e-04,1.121353008784353733e-03
5.715633742511272430e-04,1.120441709645092487e-03
5.714259459637105465e-04,1.121175359003245831e-03
5.714398575946688652e-04,1.122122164815664291e-03
5.716070299968123436e-04,1.123918103985488415e-03
5.718363099731504917e-04,1.121445908211171627e-03
5.721154739148914814e-04,1.118262531235814095e-03
5.718407919630408287e-04,1.120069762691855431e-03
5.717407329939305782e-04,1.121529843658208847e-03
5.715627339668571949e-04,1.121397595852613449e-03
5.715496954508125782e-04,1.120420987717807293e-03
5.714885774068534374e-04,1.121369423344731331e-03
5.714774597436189651e-04,1.120533794164657593e-03
5.717321764677762985e-04,1.121376175433397293e-03
5.716951563954353333e-04,1.120242523029446602e-03
5.716687883250415325e-04,1.118015381507575512e-03
5.715261213481426239e-04,1.117319567129015923e-03
5.714707076549530029e-04,1.117818756029009819e-03
