# Train loss, Test loss
1.230082288384437561e-01,1.444278061389923096e-01
1.107295677065849304e-01,1.286353617906570435e-01
1.016528680920600891e-01,1.169391274452209473e-01
9.467983245849609375e-02,1.097614392638206482e-01
8.709637820720672607e-02,1.020816788077354431e-01
7.868546247482299805e-02,9.338440001010894775e-02
6.948756426572799683e-02,8.374792337417602539e-02
5.951460823416709900e-02,7.311859726905822754e-02
4.874878376722335815e-02,6.122636795043945312e-02
3.722134232521057129e-02,4.803123325109481812e-02
2.628346532583236694e-02,3.508086130023002625e-02
1.781502924859523773e-02,2.405803278088569641e-02
1.528067328035831451e-02,1.925289630889892578e-02
1.718968898057937622e-02,2.180036157369613647e-02
1.697730831801891327e-02,2.185778133571147919e-02
1.656952127814292908e-02,2.179666794836521149e-02
1.605281420052051544e-02,2.162043005228042603e-02
1.553956791758537292e-02,2.115277759730815887e-02
1.508500333875417709e-02,2.040311321616172791e-02
1.471837144345045090e-02,1.952418684959411621e-02
1.427207328379154205e-02,1.893132366240024567e-02
1.387091726064682007e-02,1.906845532357692719e-02
1.407025102525949478e-02,2.002537995576858521e-02
1.455705240368843079e-02,2.130389027297496796e-02
1.474266033619642258e-02,2.179052680730819702e-02
1.456391438841819763e-02,2.134353481233119965e-02
1.433794014155864716e-02,2.059160731732845306e-02
1.427618879824876785e-02,2.023652382194995880e-02
1.413413882255554199e-02,2.024209499359130859e-02
1.368655078113079071e-02,2.015651203691959381e-02
1.313369907438755035e-02,1.991165056824684143e-02
1.277726329863071442e-02,1.977191492915153503e-02
1.276476122438907623e-02,1.979627273976802826e-02
1.296599581837654114e-02,1.987685449421405792e-02
1.316318474709987640e-02,1.988264732062816620e-02
1.326419785618782043e-02,1.979368180036544800e-02
1.326470635831356049e-02,1.967655681073665619e-02
1.320283487439155579e-02,1.956445723772048950e-02
1.312790904194116592e-02,1.955188438296318054e-02
1.302677299827337265e-02,1.956508308649063110e-02
1.287216879427433014e-02,1.949650980532169342e-02
1.269930880516767502e-02,1.933280751109123230e-02
1.255711354315280914e-02,1.917752437293529510e-02
1.249921415001153946e-02,1.915417611598968506e-02
1.253240369260311127e-02,1.923126168549060822e-02
1.256121415644884109e-02,1.926027238368988037e-02
1.253273338079452515e-02,1.913268119096755981e-02
1.244911272078752518e-02,1.893359422683715820e-02
1.236440148204565048e-02,1.877433061599731445e-02
1.231629028916358948e-02,1.868934929370880127e-02
1.228967308998107910e-02,1.860453002154827118e-02
1.225093472748994827e-02,1.841765083372592926e-02
1.220750808715820312e-02,1.814844831824302673e-02
1.219200994819402695e-02,1.788413710892200470e-02
1.220491062849760056e-02,1.766462996602058411e-02
1.220633834600448608e-02,1.743399538099765778e-02
1.217804476618766785e-02,1.712815463542938232e-02
1.213437225669622421e-02,1.666310988366603851e-02
1.210494060069322586e-02,1.601791381835937500e-02
1.209686975926160812e-02,1.525885704904794693e-02
1.209158264100551605e-02,1.443400979042053223e-02
1.207411196082830429e-02,1.363638602197170258e-02
1.174454018473625183e-02,1.216190680861473083e-02
1.080639939755201340e-02,1.019903924316167831e-02
1.005744654685258865e-02,9.530826471745967865e-03
1.023053843528032303e-02,1.039864029735326767e-02
1.023073215037584305e-02,1.055981498211622238e-02
9.346236474812030792e-03,9.189425036311149597e-03
8.104125037789344788e-03,7.315366994589567184e-03
7.502061314880847931e-03,6.290231831371784210e-03
6.829061079770326614e-03,6.036028265953063965e-03
5.763215944170951843e-03,5.464334972202777863e-03
5.365158431231975555e-03,5.177406128495931625e-03
5.212737247347831726e-03,5.043642595410346985e-03
4.659137688577175140e-03,4.641023930162191391e-03
4.113545175641775131e-03,4.473540000617504120e-03
4.147198516875505447e-03,4.933313932269811630e-03
4.121963866055011749e-03,4.873594269156455994e-03
3.734113881364464760e-03,4.091551527380943298e-03
3.586608218029141426e-03,3.729688934981822968e-03
3.428746946156024933e-03,3.606733866035938263e-03
2.964190440252423286e-03,3.285837126895785332e-03
2.543339971452951431e-03,3.074301173910498619e-03
2.386341569945216179e-03,3.114564111456274986e-03
