# Train loss, Test loss
1.911145210266113281e+00,1.853165149688720703e+00
1.837349772453308105e+00,1.777379274368286133e+00
1.763358831405639648e+00,1.707744479179382324e+00
1.687256217002868652e+00,1.633013486862182617e+00
1.596063971519470215e+00,1.540618658065795898e+00
1.480224609375000000e+00,1.421687841415405273e+00
1.372046232223510742e+00,1.311591029167175293e+00
1.238369464874267578e+00,1.186896920204162598e+00
1.045651316642761230e+00,1.006172180175781250e+00
8.492835164070129395e-01,8.283532857894897461e-01
6.411102414131164551e-01,6.398475766181945801e-01
3.833382427692413330e-01,3.847050666809082031e-01
2.730796933174133301e-01,2.750179171562194824e-01
2.046621739864349365e-01,2.002353966236114502e-01
1.556539684534072876e-01,1.494714915752410889e-01
1.250286698341369629e-01,1.200991496443748474e-01
1.121342778205871582e-01,1.085578203201293945e-01
1.084419861435890198e-01,1.061705201864242554e-01
1.080371513962745667e-01,1.063793450593948364e-01
1.092840880155563354e-01,1.068808063864707947e-01
1.077705994248390198e-01,1.038309261202812195e-01
1.035567522048950195e-01,9.762127697467803955e-02
9.873013198375701904e-02,9.093719720840454102e-02
9.551794081926345825e-02,8.648534119129180908e-02
9.478340297937393188e-02,8.533255010843276978e-02
9.577916562557220459e-02,8.678863197565078735e-02
9.688386321067810059e-02,8.881708979606628418e-02
9.669527411460876465e-02,8.976890891790390015e-02
9.487185627222061157e-02,8.900577574968338013e-02
9.190791845321655273e-02,8.709278702735900879e-02
8.881890028715133667e-02,8.466840535402297974e-02
8.631578832864761353e-02,8.215623348951339722e-02
8.277031779289245605e-02,7.845963537693023682e-02
7.760065048933029175e-02,7.321496307849884033e-02
7.159210741519927979e-02,6.729376316070556641e-02
6.650466471910476685e-02,6.190634518861770630e-02
6.307688355445861816e-02,5.831196531653404236e-02
6.058888882398605347e-02,5.604043975472450256e-02
5.862886458635330200e-02,5.445998162031173706e-02
5.636138841509819031e-02,5.292329937219619751e-02
5.351170897483825684e-02,5.103465914726257324e-02
5.018519610166549683e-02,4.884015768766403198e-02
4.676313325762748718e-02,4.650697857141494751e-02
4.372046887874603271e-02,4.443839564919471741e-02
4.198093712329864502e-02,4.343022033572196960e-02
4.123530909419059753e-02,4.326818883419036865e-02
4.053265228867530823e-02,4.302499443292617798e-02
3.961060941219329834e-02,4.254391416907310486e-02
3.846347704529762268e-02,4.166814684867858887e-02
3.705399483442306519e-02,4.042918980121612549e-02
3.566124290227890015e-02,3.895318880677223206e-02
3.440283611416816711e-02,3.745144233107566833e-02
3.350820764899253845e-02,3.622913733124732971e-02
3.284387290477752686e-02,3.537772968411445618e-02
3.249445930123329163e-02,3.494635969400405884e-02
3.211809694766998291e-02,3.449182212352752686e-02
3.157731145620346069e-02,3.393702581524848938e-02
3.082787618041038513e-02,3.316138312220573425e-02
2.999086491763591766e-02,3.232925757765769958e-02
2.927611209452152252e-02,3.171373158693313599e-02
2.862822264432907104e-02,3.122646920382976532e-02
2.809697203338146210e-02,3.083843179047107697e-02
2.765398658812046051e-02,3.050433658063411713e-02
2.721178717911243439e-02,3.012172505259513855e-02
2.667843177914619446e-02,2.959456294775009155e-02
2.608086168766021729e-02,2.888261713087558746e-02
2.541501820087432861e-02,2.800636738538742065e-02
2.470621280372142792e-02,2.703657746315002441e-02
2.402215264737606049e-02,2.607630379498004913e-02
2.339828200638294220e-02,2.517960779368877411e-02
2.286911197006702423e-02,2.439286373555660248e-02
2.237852290272712708e-02,2.369321137666702271e-02
2.189084701240062714e-02,2.303056605160236359e-02
2.141329459846019745e-02,2.245688065886497498e-02
2.093501202762126923e-02,2.192671224474906921e-02
2.044982090592384338e-02,2.143168449401855469e-02
1.997858658432960510e-02,2.096594683825969696e-02
1.954675093293190002e-02,2.054408378899097443e-02
1.916551776230335236e-02,2.015284635126590729e-02
1.878058165311813354e-02,1.975022442638874054e-02
1.837486028671264648e-02,1.932828687131404877e-02
1.798294112086296082e-02,1.892183721065521240e-02
1.762119121849536896e-02,1.856974139809608459e-02
1.728633046150207520e-02,1.823583059012889862e-02
1.701597869396209717e-02,1.791814714670181274e-02
1.678759977221488953e-02,1.760246232151985168e-02
1.655506715178489685e-02,1.728791184723377228e-02
1.630336977541446686e-02,1.701655611395835876e-02
1.608162000775337219e-02,1.675470545887947083e-02
1.583416573703289032e-02,1.649371348321437836e-02
1.557878125458955765e-02,1.624308712780475616e-02
1.532739866524934769e-02,1.596863195300102234e-02
1.511744782328605652e-02,1.569273322820663452e-02
1.492067240178585052e-02,1.542715821415185928e-02
1.476088352501392365e-02,1.518997550010681152e-02
1.464425120502710342e-02,1.496309507638216019e-02
1.453147921711206436e-02,1.478464808315038681e-02
1.439781952649354935e-02,1.462051551789045334e-02
1.427471823990345001e-02,1.447037141770124435e-02
1.412107609212398529e-02,1.433431636542081833e-02
1.396618690341711044e-02,1.418191101402044296e-02
1.379953883588314056e-02,1.396912150084972382e-02
1.363429613411426544e-02,1.376467384397983551e-02
1.348560489714145660e-02,1.356347370892763138e-02
1.335304416716098785e-02,1.339439488947391510e-02
1.323442626744508743e-02,1.327079627662897110e-02
1.311491243541240692e-02,1.316374633461236954e-02
1.299358345568180084e-02,1.302323490381240845e-02
1.287667080760002136e-02,1.291357632726430893e-02
1.276427693665027618e-02,1.282398775219917297e-02
1.265381369739770889e-02,1.273176725953817368e-02
1.254132296890020370e-02,1.259990967810153961e-02
1.243515871465206146e-02,1.247044652700424194e-02
1.232925895601511002e-02,1.234006416052579880e-02
1.221425645053386688e-02,1.223003026098012924e-02
1.208859775215387344e-02,1.212170254439115524e-02
1.197541691362857819e-02,1.201851014047861099e-02
1.183555647730827332e-02,1.189551502466201782e-02
1.169676333665847778e-02,1.178398542106151581e-02
1.155779138207435608e-02,1.167636271566152573e-02
1.143680792301893234e-02,1.156891230493783951e-02
1.132211834192276001e-02,1.146725751459598541e-02
1.121220365166664124e-02,1.136297639459371567e-02
1.110912580043077469e-02,1.124842092394828796e-02
1.100996416062116623e-02,1.113376487046480179e-02
1.089225523173809052e-02,1.100559346377849579e-02
1.077612675726413727e-02,1.088688243180513382e-02
1.066530123353004456e-02,1.077653653919696808e-02
1.056201010942459106e-02,1.067394297569990158e-02
1.045729871839284897e-02,1.056140102446079254e-02
1.034558191895484924e-02,1.045253686606884003e-02
1.022923365235328674e-02,1.033571083098649979e-02
1.010037399828433990e-02,1.020959299057722092e-02
9.970520623028278351e-03,1.007476169615983963e-02
9.832455776631832123e-03,9.928427636623382568e-03
9.689680300652980804e-03,9.767741896212100983e-03
9.544143453240394592e-03,9.589338675141334534e-03
9.392709471285343170e-03,9.401633404195308685e-03
9.237699210643768311e-03,9.211113676428794861e-03
9.090160951018333435e-03,9.036489762365818024e-03
8.929869160056114197e-03,8.862019516527652740e-03
8.772321045398712158e-03,8.703817613422870636e-03
8.609542623162269592e-03,8.562734350562095642e-03
8.438736200332641602e-03,8.431782945990562439e-03
8.274191990494728088e-03,8.298770524561405182e-03
8.108073845505714417e-03,8.158684708178043365e-03
7.949787192046642303e-03,8.009463548660278320e-03
7.791852112859487534e-03,7.852399721741676331e-03
7.627135142683982849e-03,7.676401641219854355e-03
7.470670156180858612e-03,7.508276030421257019e-03
7.319531869143247604e-03,7.354835513979196548e-03
7.174138445407152176e-03,7.207782007753849030e-03
7.040739059448242188e-03,7.079860661178827286e-03
6.912186276167631149e-03,6.963311694562435150e-03
6.795794237405061722e-03,6.863466929644346237e-03
6.698100827634334564e-03,6.772783119231462479e-03
6.599199958145618439e-03,6.708671338856220245e-03
6.514631677418947220e-03,6.678028032183647156e-03
6.422505713999271393e-03,6.748260930180549622e-03
6.323852110654115677e-03,6.788264028728008270e-03
6.212536711245775223e-03,6.674845237284898758e-03
6.117678247392177582e-03,6.568104494363069534e-03
6.016328930854797363e-03,6.530436687171459198e-03
5.938030313700437546e-03,6.531529128551483154e-03
5.850077141076326370e-03,6.524766795337200165e-03
5.761725828051567078e-03,6.443565245717763901e-03
5.665671546012163162e-03,6.323121488094329834e-03
5.586985498666763306e-03,6.239661015570163727e-03
5.501592531800270081e-03,6.196041591465473175e-03
5.415320862084627151e-03,6.234094500541687012e-03
5.333135370165109634e-03,6.223547738045454025e-03
5.251114722341299057e-03,6.082228384912014008e-03
5.166732706129550934e-03,5.941981449723243713e-03
5.091044120490550995e-03,5.802544299513101578e-03
5.004031583666801453e-03,5.730967968702316284e-03
4.933998454362154007e-03,5.644950084388256073e-03
4.865806549787521362e-03,5.562462378293275833e-03
4.792802967131137848e-03,5.444540642201900482e-03
4.731571301817893982e-03,5.340436939150094986e-03
4.660757258534431458e-03,5.283373408019542694e-03
4.602977540343999863e-03,5.303706508129835129e-03
4.547288175672292709e-03,5.348515696823596954e-03
4.484578035771846771e-03,5.297774914652109146e-03
4.422154277563095093e-03,5.195438396185636520e-03
4.365730099380016327e-03,5.113652441650629044e-03
4.310674965381622314e-03,5.073342472314834595e-03
4.255176987498998642e-03,5.043439101427793503e-03
4.199822898954153061e-03,4.992615897208452225e-03
4.148803185671567917e-03,4.901763051748275757e-03
4.094419069588184357e-03,4.840175155550241470e-03
4.042964428663253784e-03,4.831799305975437164e-03
3.986478783190250397e-03,4.854854196310043335e-03
3.938388545066118240e-03,4.849553573876619339e-03
3.890804946422576904e-03,4.804440308362245560e-03
3.839039709419012070e-03,4.770103376358747482e-03
3.796077100560069084e-03,4.776068963110446930e-03
3.756703808903694153e-03,4.814699292182922363e-03
3.715210827067494392e-03,4.839229863137006760e-03
3.669436089694499969e-03,4.824210889637470245e-03
3.633623477071523666e-03,4.799591843038797379e-03
