# Train loss, Test loss
1.193871051073074341e-01,1.160835176706314087e-01
7.886365801095962524e-02,8.363497257232666016e-02
7.407617568969726562e-02,7.613104581832885742e-02
6.996389478445053101e-02,7.076402008533477783e-02
6.504500657320022583e-02,6.591750681400299072e-02
6.069456413388252258e-02,6.158521398901939392e-02
5.690586194396018982e-02,5.731339380145072937e-02
5.160019919276237488e-02,5.259213224053382874e-02
4.645259678363800049e-02,4.813146963715553284e-02
4.341972991824150085e-02,4.523721337318420410e-02
4.197170585393905640e-02,4.376747459173202515e-02
4.089416936039924622e-02,4.319032654166221619e-02
3.821395710110664368e-02,4.229602962732315063e-02
3.747550025582313538e-02,4.185098409652709961e-02
3.768631443381309509e-02,4.160770028829574585e-02
3.652073070406913757e-02,4.088963940739631653e-02
3.418799489736557007e-02,3.990779444575309753e-02
3.279845044016838074e-02,3.922702372074127197e-02
3.208918496966362000e-02,3.845816850662231445e-02
3.034502640366554260e-02,3.718663379549980164e-02
2.912393771111965179e-02,3.624115511775016785e-02
2.818807214498519897e-02,3.533858433365821838e-02
2.707923389971256256e-02,3.428323194384574890e-02
2.631197124719619751e-02,3.369699418544769287e-02
2.548460662364959717e-02,3.356317430734634399e-02
2.421217411756515503e-02,3.327256441116333008e-02
2.318076044321060181e-02,3.306293487548828125e-02
2.227759733796119690e-02,3.308517858386039734e-02
2.140358462929725647e-02,3.332359716296195984e-02
2.060838788747787476e-02,3.361079841852188110e-02
1.993511244654655457e-02,3.327442705631256104e-02
1.936536654829978943e-02,3.244516626000404358e-02
1.902833767235279083e-02,3.195433691143989563e-02
1.869317889213562012e-02,3.191366791725158691e-02
1.791694201529026031e-02,3.185253590345382690e-02
1.689969189465045929e-02,3.171034902334213257e-02
1.612577401101589203e-02,3.150704875588417053e-02
1.543547958135604858e-02,3.107334859669208527e-02
1.500743627548217773e-02,3.024229407310485840e-02
1.474459469318389893e-02,2.933984622359275818e-02
1.445759553462266922e-02,2.867714501917362213e-02
1.405939459800720215e-02,2.831268869340419769e-02
1.355400495231151581e-02,2.813131175935268402e-02
1.318110059946775436e-02,2.788819558918476105e-02
1.275371946394443512e-02,2.730404213070869446e-02
1.227983646094799042e-02,2.656067349016666412e-02
1.190544292330741882e-02,2.595363371074199677e-02
1.170830242335796356e-02,2.551625482738018036e-02
1.139579433947801590e-02,2.486255951225757599e-02
1.103785075247287750e-02,2.389405481517314911e-02
1.081054471433162689e-02,2.303101681172847748e-02
1.058439817279577255e-02,2.232332341372966766e-02
1.025297213345766068e-02,2.151176705956459045e-02
9.922054596245288849e-03,2.073028311133384705e-02
9.690266102552413940e-03,2.007069066166877747e-02
9.452831000089645386e-03,1.945939287543296814e-02
9.219561703503131866e-03,1.894205063581466675e-02
9.012103080749511719e-03,1.859714649617671967e-02
8.795843459665775299e-03,1.839441061019897461e-02
8.629780262708663940e-03,1.827821321785449982e-02
8.425964042544364929e-03,1.803626306354999542e-02
8.214793168008327484e-03,1.760536991059780121e-02
8.002426475286483765e-03,1.712317951023578644e-02
7.790006697177886963e-03,1.671457476913928986e-02
7.580774370580911636e-03,1.639382727444171906e-02
7.361188065260648727e-03,1.612895354628562927e-02
7.218944374471902847e-03,1.581913046538829803e-02
7.018635980784893036e-03,1.548041775822639465e-02
6.860476918518543243e-03,1.519785821437835693e-02
6.700185127556324005e-03,1.501262001693248749e-02
6.553374696522951126e-03,1.487543340772390366e-02
6.398303899914026260e-03,1.475505996495485306e-02
6.246302742511034012e-03,1.450153067708015442e-02
6.070515140891075134e-03,1.407132484018802643e-02
5.933073814958333969e-03,1.368245948106050491e-02
5.793197080492973328e-03,1.345057506114244461e-02
5.623675882816314697e-03,1.342660374939441681e-02
5.473217461258172989e-03,1.362002920359373093e-02
5.343474913388490677e-03,1.374125201255083084e-02
5.216532852500677109e-03,1.368723809719085693e-02
5.106771364808082581e-03,1.362351514399051666e-02
4.977060481905937195e-03,1.353254448622465134e-02
4.856468643993139267e-03,1.336217764765024185e-02
4.685794934630393982e-03,1.308525167405605316e-02
4.536352120339870453e-03,1.288330554962158203e-02
4.413474816828966141e-03,1.279729045927524567e-02
4.279383923858404160e-03,1.277443300932645798e-02
4.175616428256034851e-03,1.275868434458971024e-02
4.088167101144790649e-03,1.280008070170879364e-02
3.979009110480546951e-03,1.276196818798780441e-02
3.863402409479022026e-03,1.264430582523345947e-02
3.750748699530959129e-03,1.234516128897666931e-02
3.639467293396592140e-03,1.193874329328536987e-02
3.553133690729737282e-03,1.163187436759471893e-02
3.472854616120457649e-03,1.146088819950819016e-02
3.384315408766269684e-03,1.129255443811416626e-02
3.297141753137111664e-03,1.106202229857444763e-02
3.204835578799247742e-03,1.097026560455560684e-02
3.108728677034378052e-03,1.105516031384468079e-02
3.002461977303028107e-03,1.116595417261123657e-02
2.895387355238199234e-03,1.128292735666036606e-02
2.795482985675334930e-03,1.140018180012702942e-02
2.720626303926110268e-03,1.154121942818164825e-02
2.656290773302316666e-03,1.178119517862796783e-02
2.599710365757346153e-03,1.179561577737331390e-02
2.604922046884894371e-03,1.188171654939651489e-02
3.051630686968564987e-03,1.215596497058868408e-02
2.607410540804266930e-03,1.212551910430192947e-02
2.692172769457101822e-03,1.199100911617279053e-02
3.399230306968092918e-03,1.266835629940032959e-02
3.397279651835560799e-03,1.266108918935060501e-02
2.812058664858341217e-03,1.233351882547140121e-02
3.100383328273892403e-03,1.249028183519840240e-02
3.262603422626852989e-03,1.199257373809814453e-02
2.478386973962187767e-03,1.150136068463325500e-02
3.130522323772311211e-03,1.152481324970722198e-02
2.570442156866192818e-03,1.118597295135259628e-02
2.523090224713087082e-03,1.148312538862228394e-02
2.454974455758929253e-03,1.124530937522649765e-02
2.684445586055517197e-03,1.076356507837772369e-02
2.349187619984149933e-03,1.068617217242717743e-02
2.799232490360736847e-03,1.129196956753730774e-02
2.359408652409911156e-03,1.041444391012191772e-02
2.214503241702914238e-03,1.037431973963975906e-02
2.212312771007418633e-03,1.031828299164772034e-02
2.018132014200091362e-03,9.617606177926063538e-03
2.119717886671423912e-03,9.173454716801643372e-03
1.981439301744103432e-03,9.121086448431015015e-03
1.963985152542591095e-03,9.003805927932262421e-03
1.880803727544844151e-03,8.666916750371456146e-03
2.018012804910540581e-03,8.868007920682430267e-03
1.806468470022082329e-03,8.411839604377746582e-03
1.811918918974697590e-03,8.243743330240249634e-03
1.712571945972740650e-03,7.900073193013668060e-03
1.767087611369788647e-03,7.342337165027856827e-03
1.671505160629749298e-03,7.509429473429918289e-03
1.641841139644384384e-03,7.426769472658634186e-03
1.632181345485150814e-03,7.184342015534639359e-03
1.740617910400032997e-03,7.598489988595247269e-03
1.642524730414152145e-03,6.870645098388195038e-03
1.511997892521321774e-03,6.877771578729152679e-03
1.503534847870469093e-03,6.880887784063816071e-03
1.553080393932759762e-03,6.419803481549024582e-03
1.799379941076040268e-03,6.686052773147821426e-03
1.489565474912524223e-03,6.339814048260450363e-03
1.610057195648550987e-03,6.063598208129405975e-03
1.637703273445367813e-03,6.406884640455245972e-03
1.518656150437891483e-03,5.868264939635992050e-03
1.695475541055202484e-03,5.635629873722791672e-03
1.448635361157357693e-03,5.564774386584758759e-03
1.496507320553064346e-03,5.612072069197893143e-03
1.387600786983966827e-03,5.428061820566654205e-03
1.430920907296240330e-03,5.560934543609619141e-03
1.250210916623473167e-03,5.138307344168424606e-03
1.268149353563785553e-03,5.035459529608488083e-03
1.313622458837926388e-03,5.060414317995309830e-03
1.216421485878527164e-03,4.751005209982395172e-03
1.147004077211022377e-03,4.742120858281850815e-03
1.170054543763399124e-03,4.831151105463504791e-03
1.096710795536637306e-03,4.454406909644603729e-03
1.016868976876139641e-03,4.240560811012983322e-03
1.038182759657502174e-03,4.212666768580675125e-03
1.002772944048047066e-03,3.997912164777517319e-03
9.591577691026031971e-04,4.047101363539695740e-03
9.554149582982063293e-04,3.963543102145195007e-03
9.237599442712962627e-04,3.606113838031888008e-03
9.180396446026861668e-04,3.581819823011755943e-03
8.970244671218097210e-04,3.463663626462221146e-03
8.506592130288481712e-04,3.306148108094930649e-03
8.829929865896701813e-04,3.443190362304449081e-03
8.415729971602559090e-04,3.212560433894395828e-03
8.108552428893744946e-04,3.155953716486692429e-03
8.685757056809961796e-04,3.297609277069568634e-03
8.228381630033254623e-04,2.977860393002629280e-03
8.074661018326878548e-04,3.087662393227219582e-03
7.799462764523923397e-04,2.950244583189487457e-03
